Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
robot-failures-lp4-1519.arff,90,3,117,0.4683333,0.0116667,44.9617273,16.2395344,2.1237583,0,0.5979871,0.4036307,0.1161215,-0.6003726,0,0.5979871,0.4036307,0.1154817,-0.5904291,0.7553192,0.670922,0.5425532,0.7553192,0.7234042,0.5,0.7234042
wine-973.arff,13,2,178,0.0730769,0.0153846,6.3793335,2.5662742,0.6893967,0,0.6703987,0.1648586,0.2180537,0.845118,0,0.6703987,0.1648586,0.2101218,0.7509816,0.8190141,0.8232394,0.8028169,0.8239436,0.6971831,0.612676,0.6971831
prnn_fglass-996.arff,9,2,214,0.0222222,0.0055556,4.3557122,1.6631,1.3562413,0,0.2409753,0.0672194,0.0792497,1.5024081,0,0.2409753,0.0672194,0.0751828,1.2629325,0.7015504,0.7013566,0.6976744,0.6918604,0.5290698,0.6395349,0.5
sonar-40.arff,60,2,208,0.1,0.0041667,29.9085258,10.622423,2.1293191,0,0.2013644,0,0.0533283,1.3162437,0,0.2013644,0,0.0528894,1.2836413,0.6684739,0.6614458,0.6385542,0.6807229,0.5240964,0.5421686,0.5542168
analcatdata_authorship-970.arff,70,2,841,0.01,0.0014286,34.8595995,15.5189876,0.9629775,0,0.4702971,0.0591551,0.1182324,1.5060857,0,0.4702971,0.0591551,0.1173968,1.4740697,0.6871032,0.6933035,0.6964286,0.703869,0.6145833,0.5505952,0.5565476
fri_c4_500_50-805.arff,50,2,500,0.008,0.002,24.885679,8.9343874,1.8891015,0,0.2708126,0,0.0537409,4.4677025,0,0.2708126,0,0.0532114,4.3351401,0.6745,0.6035,0.5775,0.685,0.545,0.6675,0.6775
bridges-1007.arff,12,2,107,0.1125,0.0125,5.8594083,2.4733952,0.7514685,0,0.977134,0.1272494,0.2832964,2.0084643,0,0.977134,0.1272494,0.2721824,1.7665994,0.6860465,0.6872093,0.6976744,0.6860465,0.6511628,0.5581396,0.6744186
fri_c3_500_50-937.arff,50,2,500,0.001,0.001,24.9704971,8.9664983,2.1241799,0,0.3431337,0,0.0577505,4.8587976,0,0.3431337,0,0.0571816,4.714631,0.704,0.6290833,0.6125,0.705,0.5675,0.705,0.705
fri_c3_250_50-873.arff,50,2,250,0.014,0.002,24.8942813,9.7236191,1.638434,0,0.3523871,0,0.0661527,4.6342599,0,0.3523871,0,0.0655009,4.4967556,0.6793333,0.6015,0.575,0.68,0.555,0.66,0.66
eucalyptus-188.arff,19,5,736,0.0236842,0.0078947,9.3222445,3.5711537,1.363302,0,0.6404479,0.2415873,0.1708839,0.5999791,0,0.6404479,0.2415873,0.166557,0.5538375,0.6019841,0.6681973,0.6428572,0.5935374,0.5493198,0.5493198,0.5493198
fri_c1_100_50-876.arff,50,2,100,0.033,0.002,24.9491173,10.5129715,1.2709246,0,0.1871858,0,0.0264721,7.0710678,0,0.1871858,0,0.0262113,6.8612603,0.6145833,0.6575,0.675,0.6875,0.6375,0.6,0.575
fri_c0_100_10-808.arff,10,2,100,0,0,4.9145299,1.8827539,1.4205579,0,0.1200206,0,0.0489865,1.7851087,0,0.1200206,0,0.0467068,1.5283574,0.59875,0.6066667,0.6125,0.5,0.575,0.5375,0.575
schizo-466.arff,14,2,340,0.3035714,0.0535714,6.9589774,2.0521129,2.9000425,0,0.4564102,0,0.1212194,3.6927557,0,0.4564102,0,0.117109,3.3100895,0.6102942,0.5818628,0.5625,0.6102942,0.507353,0.6102942,0.5
fri_c4_1000_100-718.arff,100,2,1000,0.002,0.0005,49.9680984,17.9517228,2.1245234,0,0.3841976,0,0.0456841,7.0630447,0,0.3841976,0,0.0454574,6.9576982,0.7023333,0.5957917,0.59625,0.705,0.6675,0.7025,0.7
fri_c1_1000_50-837.arff,50,2,1000,0.003,0.001,24.8167903,8.6894595,2.1445661,0,0.3340166,0,0.060348,4.7171463,0,0.3340166,0,0.0597534,4.5771826,0.67375,0.5959583,0.56625,0.65875,0.67375,0.67375,0.67375
fri_c4_500_100-742.arff,100,2,500,0.01,0.001,49.863844,19.3454576,1.6429373,0,0.3901473,0,0.0454743,7.3474208,0,0.3901473,0,0.0452487,7.2378328,0.6810833,0.578,0.5825,0.64,0.685,0.685,0.685
fri_c4_1000_50-797.arff,50,2,1000,0,0,24.8954961,8.557498,2.1592468,0,0.3613427,0,0.0636784,4.7710673,0,0.3613427,0,0.063051,4.6295037,0.6575,0.6045417,0.55875,0.66375,0.6575,0.655,0.6575
xd6-40693.arff,9,2,973,0.0111111,0.0055556,4.4652384,1.4804619,1.7937274,0.0267293,0.0317773,0.0291955,0.0016062,-0.1886674,0.0267293,0.0317773,0.0291955,0.0015237,-0.1585948,0.443659,0.487832,0.5,0.3971722,0.5,0.5,0.5
triazines-788.arff,60,2,186,0.4183333,0.0141667,29.8313059,11.5965842,1.641942,0,0.121855,0,0.0315245,1.6151572,0,0.121855,0,0.031265,1.5751509,0.6000001,0.6065316,0.6081082,0.6216216,0.5202703,0.5405406,0.5337838
fri_c0_100_50-850.arff,50,2,100,0.033,0.003,24.9110506,10.1702868,1.3996172,0,0.1582492,0,0.0302205,4.8527384,0,0.1582492,0,0.0299227,4.7087515,0.60375,0.6391667,0.675,0.575,0.6125,0.575,0.5875
fri_c4_100_100-828.arff,100,2,100,0.044,0.0015,49.8748046,21.7371766,1.0173194,0,0.3652955,0,0.0440749,7.3262042,0,0.3652955,0,0.0438562,7.2169326,0.65375,0.6616667,0.675,0.7,0.6,0.6375,0.6
