Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
prnn_fglass-952.arff,9,6,214,0.1055556,0.0111111,4.321426,1.2999894,2.8912528,0,0.5661882,0.41235,0.203333,-0.9323356,0,0.5661882,0.41235,0.1928986,-0.7837264,0.5222868,0.528876,0.5232558,0.5290698,0.5174418,0.5174418,0.5232558
emotions-40589.arff,77,2,593,0.1331169,0.0038961,38.4189676,12.4763735,2.2992519,0,0.2740917,0.0358175,0.0693638,1.0042463,0,0.2740917,0.0358175,0.0689178,0.9848254,0.4918425,0.5026723,0.5084388,0.485232,0.5021097,0.5021097,0.5
meta-757.arff,21,2,528,0.102381,0.0071429,10.2185503,3.1013087,2.8891635,0,0.1179215,0.0488101,0.0337352,0.4691728,0,0.1179215,0.0488101,0.0329596,0.4364584,0.5161138,0.5223539,0.521327,0.4976304,0.5047394,0.5094787,0.5
kc1-top5-1045.arff,94,2,145,0.9648936,0.3824468,46.916299,14.2991692,2.8885336,0,0.137444,0,0.0481672,0.6763465,0,0.137444,0,0.0479131,0.6656186,0.5037356,0.5020115,0.5,0.5086207,0.5,0.5,0.5
colic-27.arff,22,2,368,0.0340909,0.0045455,10.8733017,3.8354547,2.1276569,0,0.2840101,0.0272486,0.0632814,2.647319,0,0.2840101,0.0272486,0.0618905,2.470953,0.5384354,0.5433107,0.5442177,0.5408163,0.537415,0.5272109,0.5238095
fri_c4_500_100-742.arff,100,2,500,0.01,0.001,49.863844,19.3454576,1.6429373,0,0.3901473,0,0.0454743,7.3474208,0,0.3901473,0,0.0452487,7.2378328,0.6810833,0.578,0.5825,0.64,0.685,0.685,0.685
credit-approval-29.arff,15,2,690,0.0166667,0.0066667,7.0791837,2.7582912,1.5578375,0.0004227,0.4257094,0.0494559,0.1113025,2.2005357,0.0004227,0.4257094,0.0494559,0.1077681,1.9873416,0.5285024,0.5316425,0.5326087,0.5326087,0.5217392,0.5217392,0.5217392
kc1-binary-1066.arff,94,2,145,0.4143617,0.0111702,46.8060569,18.1283803,1.662071,0,0.3273674,0.2228146,0.1217697,-0.4450299,0,0.3273674,0.2228146,0.1211271,-0.437971,0.5439655,0.5689655,0.5862069,0.5431034,0.525862,0.525862,0.5172414
autoUniv-au7-500-1554.arff,12,5,500,0.0041667,0.0041667,5.8647337,2.0938112,1.7330496,0,0.0843291,0,0.0268003,1.8877226,0,0.0843291,0,0.0257489,1.6603977,0.5076667,0.5241667,0.53,0.53,0.5,0.5,0.5175
bridges-1007.arff,12,2,107,0.1125,0.0125,5.8594083,2.4733952,0.7514685,0,0.977134,0.1272494,0.2832964,2.0084643,0,0.977134,0.1272494,0.2721824,1.7665994,0.6860465,0.6872093,0.6976744,0.6860465,0.6511628,0.5581396,0.6744186
