Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
robot-failures-lp4-1519.arff,90,3,117,44.8580054,15.3874683,2.1733394,0,0.5979871,0.4036307,0.1161215,-0.6003726,0,0.5979871,0.4036307,0.1154817,-0.5904291,0.8030354,0.7468188,0.6659352,0.8042553,0.7787234,0.5744681,0.7787234
parity5_plus_5-40706.arff,10,2,1124,4.7661838,1.5565605,2.1142621,0,0.0001108,0.0000025,0.0000445,1.5431489,0,0.0001108,0.0000025,0.0000424,1.3211986,0.5902222,0.6526572,0.5902222,0.5902222,0.5902222,0.5902222,0.7775271
wine-973.arff,13,2,178,6.2840869,2.5468511,0.9680032,0,0.6703987,0.1648586,0.2180537,0.845118,0,0.6703987,0.1648586,0.2101218,0.7509816,0.854112,0.8548015,0.8483233,0.8568046,0.7525487,0.6877905,0.7525487
prnn_fglass-996.arff,9,2,214,4.2862683,1.6033577,1.3541545,0,0.2409753,0.0672194,0.0792497,1.5024081,0,0.2409753,0.0672194,0.0751828,1.2629325,0.7557419,0.7552921,0.7308873,0.7534884,0.591643,0.7116279,0.591643
sonar-40.arff,60,2,208,29.9404601,10.6181882,2.1281161,0,0.2013644,0,0.0533283,1.3162437,0,0.2013644,0,0.0528894,1.2836413,0.7346866,0.7245447,0.6768463,0.7445783,0.6039173,0.6090172,0.6429313
analcatdata_authorship-970.arff,70,2,841,34.8860634,14.6985025,1.263759,0,0.4702971,0.0591551,0.1182324,1.5060857,0,0.4702971,0.0591551,0.1173968,1.4740697,0.7463713,0.7427581,0.7538396,0.7610777,0.6877743,0.6306404,0.6418381
fri_c3_500_50-937.arff,50,2,500,24.8595198,7.6216092,2.8880326,0,0.3431337,0,0.0577505,4.8587976,0,0.3431337,0,0.0571816,4.714631,0.7629051,0.6982018,0.7044796,0.7629051,0.644381,0.7629051,0.7629051
fri_c4_500_50-805.arff,50,2,500,24.9671579,8.8754641,2.1276739,0,0.2708126,0,0.0537409,4.4677025,0,0.2708126,0,0.0532114,4.3351401,0.7399326,0.6764084,0.6579772,0.7463178,0.6330572,0.7323178,0.7409051
fri_c3_250_50-873.arff,50,2,250,24.9604847,8.9895002,2.1239817,0,0.3523871,0,0.0661527,4.6342599,0,0.3523871,0,0.0655009,4.4967556,0.7400493,0.6839043,0.679545,0.7423178,0.6326268,0.7269051,0.7269051
bridges-1007.arff,12,2,107,5.8364381,2.3600936,1.1966356,0,0.977134,0.1272494,0.2832964,2.0084643,0,0.977134,0.1272494,0.2721824,1.7665994,0.7412606,0.7444293,0.7430604,0.74625,0.7183431,0.6368026,0.7395349
