Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
prnn_fglass-952.arff,9,6,214,4.4587543,1.2584231,2.4616984,0,0.5661882,0.41235,0.203333,-0.9323356,0,0.5661882,0.41235,0.1928986,-0.7837264,0.6113136,0.6183097,0.6102477,0.61955,0.6102477,0.6046512,0.6102477
emotions-40589.arff,77,2,593,38.2627693,11.757061,2.8879565,0,0.2740917,0.0358175,0.0693638,1.0042463,0,0.2740917,0.0358175,0.0689178,0.9848254,0.5868462,0.5892196,0.5898084,0.5871284,0.5902015,0.5883773,0.5942426
meta-757.arff,21,2,528,10.4742819,2.6929251,2.8487668,0,0.1179215,0.0488101,0.0337352,0.4691728,0,0.1179215,0.0488101,0.0329596,0.4364584,0.6047889,0.610356,0.6048949,0.5981043,0.5981043,0.604706,0.5981043
kc1-top5-1045.arff,94,2,145,46.9749762,10.503924,4.472136,0,0.137444,0,0.0481672,0.6763465,0,0.137444,0,0.0479131,0.6656186,0.599968,0.6021393,0.596156,0.6068966,0.6,0.5997215,0.6
colic-27.arff,22,2,368,10.7603267,3.6875731,2.1574807,0,0.2840101,0.0272486,0.0632814,2.647319,0,0.2840101,0.0272486,0.0618905,2.470953,0.628463,0.6261517,0.6218187,0.6299286,0.6286444,0.6114276,0.6109343
fri_c4_500_100-742.arff,100,2,500,49.9707038,17.952035,2.1242025,0,0.3901473,0,0.0454743,7.3474208,0,0.3901473,0,0.0452487,7.2378328,0.7474709,0.6551367,0.659599,0.7117385,0.7474709,0.7474709,0.7474709
credit-approval-29.arff,15,2,690,7.0260561,2.6489817,1.6803588,0.0004227,0.4257094,0.0494559,0.1113025,2.2005357,0.0004227,0.4257094,0.0494559,0.1077681,1.9873416,0.6176883,0.6180087,0.615405,0.6183036,0.6173913,0.6173913,0.6173913
kc1-binary-1066.arff,94,2,145,46.9499909,16.8950907,2.1241194,0,0.3273674,0.2228146,0.1217697,-0.4450299,0,0.3273674,0.2228146,0.1211271,-0.437971,0.6219289,0.6413131,0.6486418,0.6344828,0.608796,0.606618,0.6037534
autoUniv-au7-500-1554.arff,12,5,500,5.9361443,1.9508735,2.1622949,0,0.0843291,0,0.0268003,1.8877226,0,0.0843291,0,0.0257489,1.6603977,0.6006507,0.6107792,0.6142909,0.6142909,0.5782232,0.592,0.6082232
bridges-1007.arff,12,2,107,5.8364381,2.3600936,1.1966356,0,0.977134,0.1272494,0.2832964,2.0084643,0,0.977134,0.1272494,0.2721824,1.7665994,0.7412606,0.7444293,0.7430604,0.74625,0.7183431,0.6368026,0.7395349
dresses-sales-23381.arff,12,2,500,5.9613993,1.9276451,2.1832068,0,0.0504273,0.0206098,0.016839,0.2500628,0,0.0504273,0.0206098,0.0161784,0.2199496,0.6266122,0.6265302,0.6194128,0.6274128,0.5934128,0.626,0.626
schizo-466.arff,14,2,340,6.955775,2.0884896,2.3608014,0,0.4564102,0,0.1212194,3.6927557,0,0.4564102,0,0.117109,3.3100895,0.6882353,0.6699794,0.6364531,0.6882353,0.6037293,0.6882353,0.5970588
fri_c4_1000_10-751.arff,10,2,1000,4.8774615,1.7127924,1.7506217,0,0.3522649,0,0.1246261,1.8479557,0,0.3522649,0,0.1188263,1.5821652,0.6605767,0.6605767,0.638173,0.6605767,0.6605767,0.6605767,0.6605767
backache-463.arff,32,2,180,15.982105,5.1336823,2.2291796,0,0.0609531,0.003887,0.0174561,1.2581715,0,0.0609531,0.003887,0.0171896,1.2001683,0.615334,0.6136028,0.6146453,0.6055556,0.6072671,0.6046988,0.6102544
TuningSVMs-41977.arff,91,2,156,45.4228437,16.3325107,2.1257331,0,0.9520403,0,0.109802,6.7569942,0,0.9520403,0,0.1092036,6.6463052,0.6578141,0.6730991,0.6878192,0.6774193,0.6346628,0.62492,0.6496681
