Dataset;Feature Selection Algorithm;Baseline;Relative Fitness;
colic,arff;Pearson Correlation Ranker;-0,00434783;0,44914528;
colic,arff;Info Gain Ranker;-0,00434783;0,47508336;
colic,arff;Random;-0,00434783;0,31858712;
colic,arff;Sequential Forward Selection;-0,00434783;0,54425397;
colic,arff;Sequential Backward Selection;-0,00434783;0,45657127;
colic,arff;AMSO;-0,00434783;0,49030481;
colic,arff;GA;-0,00434783;0,54173423;
vote,arff;Info Gain Ranker;0,2483871;0,41290322;
vote,arff;Pearson Correlation Ranker;0,2483871;0,41290322;
vote,arff;Sequential Forward Selection;0,2483871;0,41290322;
vote,arff;Random;0,2483871;0,29760737;
vote,arff;Sequential Backward Selection;0,2483871;0,41290322;
vote,arff;AMSO;0,2483871;0,41290322;
vote,arff;GA;0,2483871;0,41276495;
urbanland,arff;Random;0,1421365;0,30071251;
urbanland,arff;Pearson Correlation Ranker;0,1421365;0,42433074;
urbanland,arff;Info Gain Ranker;0,1421365;0,42601465;
urbanland,arff;Sequential Forward Selection;0,1421365;0,45111185;
urbanland,arff;AMSO;0,1421365;0,43336528;
urbanland,arff;GA;0,1421365;0,41654506;
urbanland,arff;Sequential Backward Selection;0,1421365;0,37895999;
lung-cancer,arff;Random;0,0375;0,28824782;
lung-cancer,arff;Info Gain Ranker;0,0375;0,39809983;
lung-cancer,arff;Pearson Correlation Ranker;0,0375;0,36785285;
lung-cancer,arff;Sequential Forward Selection;0,0375;0,35625;
lung-cancer,arff;Sequential Backward Selection;0,0375;0,47715126;
lung-cancer,arff;AMSO;0,0375;0,50205193;
lung-cancer,arff;GA;0,0375;0,52034369;
primary-tumor,arff;Pearson Correlation Ranker;-0,11420119;0,30347253;
primary-tumor,arff;Info Gain Ranker;-0,11420119;0,33458316;
primary-tumor,arff;Random;-0,11420119;0,25832499;
primary-tumor,arff;Sequential Forward Selection;-0,11420119;0,35712578;
primary-tumor,arff;Sequential Backward Selection;-0,11420119;0,3612678;
primary-tumor,arff;AMSO;-0,11420119;0,34536525;
primary-tumor,arff;GA;-0,11420119;0,35562752;
heart-c,arff;Pearson Correlation Ranker;0,17483444;0,30967249;
heart-c,arff;Info Gain Ranker;0,17483444;0,33759523;
