;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;

colic,;0,0083;0,1658;0,2234;0,1848;0,2174;0,0761;0,1196;
vote,a;-0,038;0,0238;0,0313;0,0230;0,0276;0,0184;0,0184;
urbanl;0,0046;0,0648;0,0739;0,0772;0,0772;0,0712;0,0682;
lung-c;-0,039;0,1771;0,2250;0,1250;-0,062;0,0625;0,0625;
primar;-0,086;-0,012;0,0323;0,0355;0,0059;0,0059;0,0296;
heart-;-0,082;0,0002;0,0492;0,0596;0,0000;0,0397;0,0397;
breast;-0,011;0,0415;0,0506;0,0350;0,0490;0,0280;0,0140;
solar-;-0,001;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
sponge;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
flags,;-0,071;0,0973;0,1378;0,1546;0,0928;0,0825;0,0825;
heart-;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
zoo,ar;-0,038;0,0313;0,0700;0,0800;-0,040;0,0200;0,0600;
lymph,;-0,058;0,0685;0,1108;0,0811;0,0676;0,0541;0,1081;
autos,;-0,016;0,2007;0,2144;0,2059;0,1863;0,1471;0,0784;
breast;-0,017;0,0004;0,0025;0,0000;-0,002;0,0000;0,0000;
synthe;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
sonar,;-0,004;0,1484;0,1154;0,0769;0,1635;0,0385;0,0192;
credit;-0,122;0,0940;0,1009;0,0870;0,0899;0,0899;0,0899;
dermat;-0,105;0,0013;0,0404;0,0328;0,0328;0,0164;0,0109;
cylind;-0,011;0,0606;0,1127;0,1259;0,1444;0,0741;0,0481;
audiol;-0,089;0,1071;0,1375;0,1239;0,0973;0,0973;0,0885;
labor,;-0,070;0,1024;0,1536;0,1429;0,0714;0,0357;0,1429;
hepati;0,0013;0,0792;0,0913;0,0909;0,1039;0,0649;0,0260;
heart-;-0,042;0,0583;0,0689;0,0519;0,0593;0,0593;0,0593;
soybea;-0,130;-0,047;0,0120;0,0176;-0,044;0,0000;0,0000;
Hill_V;0,0084;0,0441;0,0766;0,0792;0,0693;0,0363;0,0396;
glass,;-0,013;0,0978;0,1259;0,1308;0,0935;0,0654;0,0467;
ionosp;-0,002;0,0387;0,0465;0,0457;0,0114;0,0343;0,0286;
molecu;-0,041;0,1591;0,1912;0,1509;0,1887;0,1132;0,0755;
