Baseline;;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;
colic,arff;0,31521739;0,5333;0,7074;0,7734;0,7137;0,7772;0,6387;0,6794;
vote,arff;0,67626728;0,8312;0,9447;0,9447;0,9447;0,9447;0,9447;0,9447;
urbanland,arff;0,52448071;0,7206;0,8296;0,8219;0,7220;0,8498;0,8181;0,8241;
lung-cancer,arff;0,37500000;0,5189;0,7801;0,8413;0,7435;0,5625;0,6049;0,6256;
primary-tumor,arff;0,15828402;0,2695;0,3558;0,3800;0,3807;0,3790;0,3080;0,3485;
heart-c,arff;0,57119205;0,6746;0,7937;0,8002;0,7963;0,7996;0,7690;0,7690;
breast-cancer,arff;0,47027972;0,6551;0,7395;0,7419;0,7451;0,7406;0,7203;0,7063;
solar-flare,arff;0,73136646;0,9178;0,9814;0,9814;0,9814;0,9814;0,9814;0,9814;
sponge,arff;0,59210526;0,7825;0,8421;0,8417;0,8421;0,8421;0,8421;0,8421;
flags,arff;0,29639175;0,4361;0,6293;0,6494;0,5964;0,6342;0,6180;0,5749;
heart-h,arff;0,02891156;0,2224;0,2789;0,2789;0,2789;0,2789;0,2789;0,2789;
zoo,arff;0,57000000;0,7079;0,8186;0,8411;0,8517;0,7757;0,7917;0,7725;
lymph,arff;0,50675676;0,6558;0,7924;0,8222;0,8106;0,8157;0,7969;0,8210;
autos,arff;0,05392157;0,2264;0,4961;0,4889;0,4777;0,4874;0,4063;0,3765;
breast-w,arff;0,73280802;0,9073;0,9707;0,9697;0,9707;0,9685;0,9497;0,9497;
synthetic-control,arff;-0,25000000;-0,0599;0,0000;-0,0012;0,0000;0,0000;0,0000;0,0000;
sonar,arff;-0,22115385;-0,0320;0,1722;0,1408;0,0569;0,1912;0,0613;0,0407;
credit-a,arff;0,55869565;0,7047;0,8984;0,8967;0,8660;0,8986;0,8986;0,8986;
dermatology,arff;0,67349727;0,7722;0,9008;0,9170;0,8828;0,9447;0,8338;0,8338;
cylinder-bands,arff;0,30185185;0,4683;0,5980;0,6523;0,6229;0,6927;0,6242;0,5878;
audiology,arff;0,25442478;0,3737;0,6056;0,6053;0,6099;0,5988;0,5977;0,5910;
labor,arff;0,50000000;0,6398;0,8503;0,8688;0,8693;0,8168;0,7757;0,8100;
hepatitis,arff;0,42532468;0,6128;0,7472;0,7566;0,6942;0,7607;0,7365;0,6753;
heart-statlog,arff;0,55000000;0,7005;0,8431;0,8424;0,7732;0,8463;0,8463;0,8463;
soybean,arff;0,61510264;0,6747;0,7811;0,8200;0,7903;0,8011;0,7608;0,7825;
Hill_Valley_sample,arff;0,28465347;0,4735;0,5684;0,5953;0,4968;0,6005;0,5456;0,5439;
glass,arff;0,33878505;0,5189;0,6447;0,6742;0,6793;0,6441;0,5859;0,5755;
ionosphere,arff;0,68714286;0,8754;0,9589;0,9621;0,9311;0,9466;0,9396;0,9484;
molecular-biology,arff;0,03301887;0,1798;0,4246;0,4434;0,2974;0,4694;0,3725;0,3562;
