Dataset;Feature Selection Algorithm;Baseline;Relative Fitness;
colic,arff;Pearson Correlation Ranker;0,31521739;0,32351471;
colic,arff;Info Gain Ranker;0,31521739;0,36418254;
colic,arff;Random;0,31521739;0,21807347;
colic,arff;Sequential Forward Selection;0,31521739;0,46200863;
colic,arff;Sequential Backward Selection;0,31521739;0,39846846;
colic,arff;AMSO;0,31521739;0,39220918;
colic,arff;GA;0,31521739;0,4581872;
vote,arff;Info Gain Ranker;0,67626728;0,26843318;
vote,arff;Pearson Correlation Ranker;0,67626728;0,26843318;
vote,arff;Sequential Forward Selection;0,67626728;0,26843318;
vote,arff;Random;0,67626728;0,15496837;
vote,arff;Sequential Backward Selection;0,67626728;0,26843318;
vote,arff;AMSO;0,67626728;0,26843318;
vote,arff;GA;0,67626728;0,26840763;
urbanland,arff;Random;0,52448071;0,19610844;
urbanland,arff;Pearson Correlation Ranker;0,52448071;0,29358209;
urbanland,arff;Info Gain Ranker;0,52448071;0,29964195;
urbanland,arff;Sequential Forward Selection;0,52448071;0,32534254;
urbanland,arff;AMSO;0,52448071;0,30515742;
urbanland,arff;Sequential Backward Selection;0,52448071;0,19748655;
urbanland,arff;GA;0,52448071;0,29740267;
lung-cancer,arff;Random;0,375;0,1438893;
lung-cancer,arff;Pearson Correlation Ranker;0,375;0,22990803;
lung-cancer,arff;Info Gain Ranker;0,375;0,25057861;
lung-cancer,arff;Sequential Forward Selection;0,375;0,1875;
lung-cancer,arff;Sequential Backward Selection;0,375;0,36853204;
lung-cancer,arff;AMSO;0,375;0,40512502;
lung-cancer,arff;GA;0,375;0,46629419;
primary-tumor,arff;Pearson Correlation Ranker;0,15828402;0,14972951;
primary-tumor,arff;Info Gain Ranker;0,15828402;0,19022566;
primary-tumor,arff;Random;0,15828402;0,11124771;
primary-tumor,arff;Sequential Forward Selection;0,15828402;0,22073542;
primary-tumor,arff;Sequential Backward Selection;0,15828402;0,22246397;
primary-tumor,arff;AMSO;0,15828402;0,19755921;
primary-tumor,arff;GA;0,15828402;0,22171199;
heart-c,arff;Info Gain Ranker;0,57119205;0,19784599;
heart-c,arff;Pearson Correlation Ranker;0,57119205;0,19784599;
heart-c,arff;Random;0,57119205;0,10340636;
heart-c,arff;Sequential Forward Selection;0,57119205;0,22838113;
heart-c,arff;Sequential Backward Selection;0,57119205;0,22514096;
heart-c,arff;AMSO;0,57119205;0,22250822;
heart-c,arff;GA;0,57119205;0,2290081;
breast-cancer,arff;Pearson Correlation Ranker;0,47027972;0,25;
breast-cancer,arff;Info Gain Ranker;0,47027972;0,23601399;
breast-cancer,arff;Sequential Forward Selection;0,47027972;0,27033917;
breast-cancer,arff;Random;0,47027972;0,18486943;
breast-cancer,arff;Sequential Backward Selection;0,47027972;0,27484335;
breast-cancer,arff;GA;0,47027972;0,27162879;
breast-cancer,arff;AMSO;0,47027972;0,26925142;
solar-flare,arff;Info Gain Ranker;0,73136646;0,25;
solar-flare,arff;Pearson Correlation Ranker;0,73136646;0,25;
solar-flare,arff;Sequential Forward Selection;0,73136646;0,25;
solar-flare,arff;Random;0,73136646;0,18645747;
solar-flare,arff;Sequential Backward Selection;0,73136646;0,25;
solar-flare,arff;AMSO;0,73136646;0,25;
solar-flare,arff;GA;0,73136646;0,25;
sponge,arff;Random;0,59210526;0,1904298;
sponge,arff;Info Gain Ranker;0,59210526;0,25;
sponge,arff;Pearson Correlation Ranker;0,59210526;0,25;
sponge,arff;Sequential Forward Selection;0,59210526;0,25;
sponge,arff;Sequential Backward Selection;0,59210526;0,25;
sponge,arff;AMSO;0,59210526;0,25;
sponge,arff;GA;0,59210526;0,2495912;
flags,arff;Info Gain Ranker;0,29639175;0,27854698;
flags,arff;Pearson Correlation Ranker;0,29639175;0,32165491;
flags,arff;Random;0,29639175;0,13969166;
flags,arff;Sequential Forward Selection;0,29639175;0,33781771;
flags,arff;Sequential Backward Selection;0,29639175;0,30005294;
flags,arff;AMSO;0,29639175;0,33290982;
flags,arff;GA;0,29639175;0,35299028;
heart-h,arff;Info Gain Ranker;0,02891156;0,25;
heart-h,arff;Pearson Correlation Ranker;0,02891156;0,25;
heart-h,arff;Sequential Forward Selection;0,02891156;0,25;
heart-h,arff;Random;0,02891156;0,19345698;
heart-h,arff;Sequential Backward Selection;0,02891156;0,25;
heart-h,arff;AMSO;0,02891156;0,25;
heart-h,arff;GA;0,02891156;0,25;
zoo,arff;Pearson Correlation Ranker;0,57;0,22171057;
zoo,arff;Info Gain Ranker;0,57;0,20250902;
zoo,arff;Random;0,57;0,13787981;
zoo,arff;Sequential Forward Selection;0,57;0,2057005;
zoo,arff;Sequential Backward Selection;0,57;0,28171057;
zoo,arff;AMSO;0,57;0,24859149;
zoo,arff;GA;0,57;0,27111248;
lymph,arff;Pearson Correlation Ranker;0,50675676;0,29012875;
lymph,arff;Info Gain Ranker;0,50675676;0,31419528;
lymph,arff;Random;0,50675676;0,1490278;
lymph,arff;Sequential Forward Selection;0,50675676;0,30892495;
lymph,arff;Sequential Backward Selection;0,50675676;0,30379673;
lymph,arff;AMSO;0,50675676;0,28564292;
lymph,arff;GA;0,50675676;0,31540416;
autos,arff;Pearson Correlation Ranker;0,05392157;0,35233223;
autos,arff;Info Gain Ranker;0,05392157;0,3225556;
autos,arff;Random;0,05392157;0,1725164;
autos,arff;Sequential Forward Selection;0,05392157;0,43347745;
autos,arff;Sequential Backward Selection;0,05392157;0,42381472;
autos,arff;AMSO;0,05392157;0,44222397;
autos,arff;GA;0,05392157;0,43496049;
breast-w,arff;Pearson Correlation Ranker;0,73280802;0,21691981;
breast-w,arff;Info Gain Ranker;0,73280802;0,21691981;
breast-w,arff;Sequential Forward Selection;0,73280802;0,23567336;
breast-w,arff;Random;0,73280802;0,17450868;
breast-w,arff;Sequential Backward Selection;0,73280802;0,23787019;
breast-w,arff;GA;0,73280802;0,23687366;
breast-w,arff;AMSO;0,73280802;0,23787019;
synthetic-control,arff;Sequential Forward Selection;-0,25;0,25;
synthetic-control,arff;Random;-0,25;0,1901049;
synthetic-control,arff;Pearson Correlation Ranker;-0,25;0,25;
synthetic-control,arff;Info Gain Ranker;-0,25;0,25;
synthetic-control,arff;Sequential Backward Selection;-0,25;0,25;
synthetic-control,arff;AMSO;-0,25;0,25;
synthetic-control,arff;GA;-0,25;0,24877874;
sonar,arff;Random;-0,22115385;0,18917889;
sonar,arff;Info Gain Ranker;-0,22115385;0,26190165;
sonar,arff;Pearson Correlation Ranker;-0,22115385;0,28247614;
sonar,arff;Sequential Forward Selection;-0,22115385;0,41235603;
sonar,arff;Sequential Backward Selection;-0,22115385;0,27807498;
sonar,arff;AMSO;-0,22115385;0,39333521;
sonar,arff;GA;-0,22115385;0,36197388;
credit-a,arff;Info Gain Ranker;0,55869565;0,33985507;
credit-a,arff;Pearson Correlation Ranker;0,55869565;0,33985507;
credit-a,arff;Sequential Forward Selection;0,55869565;0,33985507;
credit-a,arff;Random;0,55869565;0,14603542;
credit-a,arff;Sequential Backward Selection;0,55869565;0,30731346;
credit-a,arff;AMSO;0,55869565;0,33971537;
credit-a,arff;GA;0,55869565;0,33795805;
dermatology,arff;Info Gain Ranker;0,67349727;0,16028171;
dermatology,arff;Random;0,67349727;0,0987354;
dermatology,arff;Pearson Correlation Ranker;0,67349727;0,16028171;
dermatology,arff;Sequential Forward Selection;0,67349727;0,27119038;
dermatology,arff;Sequential Backward Selection;0,67349727;0,2093419;
dermatology,arff;AMSO;0,67349727;0,22732864;
dermatology,arff;GA;0,67349727;0,24345575;
cylinder-bands,arff;Random;0,30185185;0,16647488;
cylinder-bands,arff;Pearson Correlation Ranker;0,30185185;0,32233886;
cylinder-bands,arff;Info Gain Ranker;0,30185185;0,28596899;
cylinder-bands,arff;Sequential Forward Selection;0,30185185;0,39086562;
cylinder-bands,arff;Sequential Backward Selection;0,30185185;0,32102728;
cylinder-bands,arff;AMSO;0,30185185;0,29615742;
cylinder-bands,arff;GA;0,30185185;0,35040171;
audiology,arff;Random;0,25442478;0,11932121;
audiology,arff;Pearson Correlation Ranker;0,25442478;0,34331603;
audiology,arff;Info Gain Ranker;0,25442478;0,33654921;
audiology,arff;Sequential Forward Selection;0,25442478;0,34437503;
audiology,arff;Sequential Backward Selection;0,25442478;0,35550946;
audiology,arff;AMSO;0,25442478;0,35118;
audiology,arff;GA;0,25442478;0,350853;
labor,arff;Pearson Correlation Ranker;labor,arff;Info Gain Ranker;0,5;0,31004959;
labor,arff;Random;0,5;0,13980509;
labor,arff;Sequential Forward Selection;0,5;0,31681984;
labor,arff;Sequential Backward Selection;0,5;0,36930576;
labor,arff;AMSO;0,5;0,35033772;
labor,arff;GA;0,5;0,36877246;
hepatitis,arff;Info Gain Ranker;0,42532468;0,25;
hepatitis,arff;Pearson Correlation Ranker;0,42532468;0,3111444;
hepatitis,arff;Random;0,42532468;0,1875231;
hepatitis,arff;Sequential Forward Selection;0,42532468;0,33533775;
hepatitis,arff;Sequential Backward Selection;0,42532468;0,26885871;
hepatitis,arff;AMSO;0,42532468;0,32189428;
hepatitis,arff;GA;0,42532468;0,33127366;
heart-statlog,arff;Info Gain Ranker;0,55;0,29626484;
heart-statlog,arff;Pearson Correlation Ranker;0,55;0,29626484;
heart-statlog,arff;Random;0,55;0,1505416;
heart-statlog,arff;Sequential Forward Selection;0,55;0,29626484;
heart-statlog,arff;Sequential Backward Selection;0,55;0,22320777;
heart-statlog,arff;AMSO;0,55;0,2931396;
heart-statlog,arff;GA;0,55;0,29238398;
soybean,arff;Random;0,61510264;0,05957826;
soybean,arff;Pearson Correlation Ranker;0,61510264;0,14565863;
soybean,arff;Info Gain Ranker;0,61510264;0,16738098;
soybean,arff;Sequential Forward Selection;0,61510264;0,1860375;
soybean,arff;Sequential Backward Selection;0,61510264;0,17516077;
soybean,arff;AMSO;0,61510264;0,16600101;
soybean,arff;GA;0,61510264;0,20493297;
Hill_Valley_sample,arff;Random;0,28465347;0,18889154;
Hill_Valley_sample,arff;Info Gain Ranker;0,28465347;0,25922785;
Hill_Valley_sample,arff;Pearson Correlation Ranker;0,28465347;0,26096719;
Hill_Valley_sample,arff;Sequential Forward Selection;0,28465347;0,31588126;
Hill_Valley_sample,arff;Sequential Backward Selection;0,28465347;0,21218153;
Hill_Valley_sample,arff;AMSO;0,28465347;0,28378725;
Hill_Valley_sample,arff;GA;0,28465347;0,31065719;
glass,arff;Info Gain Ranker;0,33878505;0,2366657;
glass,arff;Pearson Correlation Ranker;0,33878505;0,24707272;
glass,arff;Random;0,33878505;0,18007673;
