;Random;AMSO;GA;Info Gain Ranker;Sequential Forward Selection;Pearson Correlation Ranker;Sequential Backward Selection;
colic,arff;0,2124±0,0637;0,4024±0,0253;0,4621±0,0224;0,3642;0,4620;0,3235;0,3985;
vote,arff;0,1494±0,0436;0,2684±0,0000;0,2681±0,0018;0,2684;0,2684;0,2684;0,2684;
lung-cancer,arff;0,1406±0,0444;0,4128±0,0427;0,4634±0,0487;0,2506;0,1875;0,2299;0,3685;
primary-tumor,arff;0,0985±0,0340;0,1969±0,0152;0,2234±0,0109;0,1902;0,2207;0,1497;0,2225;
heart-c,arff;0,1325±0,0473;0,2222±0,0061;0,2289±0,0036;0,1978;0,2284;0,1978;0,2251;
breast-cancer,arff;0,1814±0,0533;0,2699±0,0012;0,2703±0,0061;0,2360;0,2703;0,2500;0,2748;
solar-flare,arff;0,1936±0,0357;0,2500±0,0000;0,2500±0,0000;0,2500;0,2500;0,2500;0,2500;
sponge,arff;0,1945±0,0122;0,2500±0,0000;0,2495±0,0011;0,2500;0,2500;0,2500;0,2500;
flags,arff;0,1395±0,0667;0,3329±0,0149;0,3536±0,0193;0,2785;0,3378;0,3217;0,3001;
heart-h,arff;0,1980±0,0311;0,2500±0,0000;0,2500±0,0000;0,2500;0,2500;0,2500;0,2500;
zoo,arff;0,1509±0,0382;0,2511±0,0124;0,2681±0,0140;0,2025;0,2057;0,2217;0,2817;
lymph,arff;0,1459±0,0581;0,2939±0,0131;0,3193±0,0138;0,3142;0,3089;0,2901;0,3038;
autos,arff;0,1885±0,0415;0,4462±0,0275;0,4382±0,0324;0,3226;0,4335;0,3523;0,4238;
breast-w,arff;0,1819±0,0248;0,2379±0,0000;0,2363±0,0013;0,2169;0,2357;0,2169;0,2379;
synthetic-control,arff;0,1945±0,0139;0,2500±0,0000;0,2496±0,0008;0,2500;0,2500;0,2500;0,2500;
sonar,arff;0,1887±0,0195;0,3997±0,0202;0,3630±0,0451;0,2619;0,4124;0,2825;0,2781;
credit-a,arff;0,0838±0,1168;0,3399±0,0002;0,3389±0,0037;0,3399;0,3399;0,3399;0,3073;
dermatology,arff;0,0954±0,0496;0,2309±0,0167;0,2459±0,0119;0,1603;0,2712;0,1603;0,2093;
cylinder-bands,arff;0,1749±0,0348;0,2948±0,0155;0,3444±0,0286;0,2860;0,3909;0,3223;0,3210;
audiology,arff;0,1135±0,0854;0,3490±0,0128;0,3443±0,0118;0,3365;0,3444;0,3433;0,3555;
labor,arff;0,1339±0,0729;0,3331±0,0398;0,3612±0,0259;0,3100;0,3168;0,2757;0,3693;
hepatitis,arff;0,1960±0,0355;0,3203±0,0097;0,3327±0,0128;0,2500;0,3353;0,3111;0,2689;
heart-statlog,arff;0,1583±0,0425;0,2940±0,0076;0,2915±0,0103;0,2963;0,2963;0,2963;0,2232;
soybean,arff;0,0643±0,0552;0,1718±0,0130;0,2026±0,0088;0,1674;0,1860;0,1457;0,1752;
glass,arff;0,1686±0,0668;0,3090±0,0215;0,3361±0,0133;0,2367;0,3054;0,2471;0,3405;
ionosphere,arff;0,1863±0,0251;0,2724±0,0059;0,2752±0,0068;0,2613;0,2594;0,2525;0,2440;
molecular-biology,arff;0,1779±0,0546;0,3915±0,0176;0,4046±0,0262;0,3231;0,4363;0,3395;0,2644;
