Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_min,feature_hdil_max,feature_hdil_median,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
Olivetti_Faces-41083.arff,4096,40,400,0.00000000,0.00000000,-7330.55610020,0.00000000,0.00000000,1639.16217530,-4.47213600,0.00000000,1.78989250,0.48067690,0.38301230,0.43661850,0.00000000,1.78989250,0.48067690,0.38296560,0.43645860,0.59999980,0.59890720,0.58264660,0.60000000,0.60000000,0.60000000,0.60000000
dbworld-bodies-1562.arff,4702,2,64,0.00000000,0.00000000,0.00000000,101708.32291540,0.00000000,22721.14652120,4.46825090,0.00000120,0.40786690,0.01806020,0.02795950,5.39970540,0.00000120,0.40786690,0.01806020,0.02795650,5.39798300,0.79493380,0.71305410,0.70357710,0.79998910,0.76921440,0.78454990,0.76920350
isolet-41966.arff,617,2,600,0.00000000,0.00000000,0.00000000,308.47219870,0.00000000,68.97648060,4.47213600,0.00000000,0.94910390,0.03927800,0.17850380,2.44195860,0.00000000,0.94910390,0.03927800,0.17835930,2.43602750,0.59925260,0.59519980,0.58675170,0.59829170,0.59829170,0.59829170,0.59715340
micro-mass-1515.arff,1300,20,571,0.00000000,0.00000000,0.00000000,649.96807060,0.00000000,236.84504500,2.12327800,0.00000000,0.76020720,0.00000000,0.13611050,1.71647290,0.00000000,0.76020720,0.00000000,0.13605820,1.71449320,0.64770320,0.63182830,0.65498640,0.73276790,0.64138630,0.63935700,0.62771660
micro-mass-1514.arff,1300,10,360,0.00000000,0.00000000,0.00000000,649.97491730,0.00000000,145.33880990,4.47213600,0.00000000,1.10276280,0.12498100,0.22260900,1.24473140,0.00000000,1.10276280,0.12498100,0.22252340,1.24329580,0.60000000,0.59907720,0.58541400,0.60000000,0.60000000,0.60000000,0.60000000
cnae-9-1468.arff,856,9,1080,0.00000000,0.00000000,0.00000000,427.90997660,0.00000000,171.95261270,1.63017440,0.00000000,0.37866030,0.00000000,0.04021000,5.23872810,0.00000000,0.37866030,0.00000000,0.04018660,5.22955430,0.58261340,0.58494050,0.59879010,0.63309500,0.60969130,0.60990000,0.60528180
dbworld-bodies-stemmed-1561.arff,3721,2,64,0.00000000,0.00000000,0.00000000,9152.42003280,0.00000000,2086.24542660,3.84276540,0.00000120,0.52473710,0.01806020,0.03077360,6.00498850,0.00000120,0.52473710,0.01806020,0.03076950,6.00256810,0.78073980,0.72299350,0.71772960,0.79998620,0.76891690,0.76914790,0.76910630
genbase-40591.arff,1212,2,662,0.00000000,0.00000000,0.00000000,605.97455280,0.00000000,135.50002930,4.47213600,0.00000000,0.04180580,0.00000000,0.00170150,21.44429780,0.00000000,0.04180580,0.00000000,0.00170080,21.41777060,0.60000000,0.59836720,0.58531400,0.60000000,0.60000000,0.60000000,0.60000000
lymphoma_9classes-1102.arff,4026,9,96,0.00000000,0.00000000,-6208.29125960,0.00000000,0.00000000,1388.21612810,-4.47213600,0.00000000,1.11420270,0.26215170,0.23959970,0.61721140,0.00000000,1.11420270,0.26215170,0.23957000,0.61698150,0.59999940,0.59872950,0.58247340,0.60000000,0.59995540,0.59992990,0.59997450
cnae-9-41967.arff,856,2,240,0.00000000,0.00000000,0.00000000,427.87189840,0.00000000,179.21847940,1.33305540,0.00000000,0.47604480,0.00000000,0.03065700,11.02374540,0.00000000,0.47604480,0.00000000,0.03063920,11.00444120,0.61701510,0.61607580,0.61939380,0.62068270,0.62336420,0.61143460,0.61996310
lymphoma_11classes-1109.arff,4026,11,96,0.00000000,0.00000000,-6208.29095860,0.00000000,0.00000000,1388.21606080,-4.47213600,0.00000000,1.28953000,0.00000000,0.25605150,0.69153140,0.00000000,1.28953000,0.00000000,0.25601970,0.69127380,0.61037030,0.60747640,0.58221010,0.61052630,0.61051360,0.61048810,0.61045620
