
vote,arff;
-1,00<=f(s)<-0,90;0;
-0,90<=f(s)<-0,80;0;
-0,80<=f(s)<-0,70;0;
-0,70<=f(s)<-0,60;0;
-0,60<=f(s)<-0,50;0;
-0,50<=f(s)<-0,40;0;
-0,40<=f(s)<-0,30;0;
-0,30<=f(s)<-0,20;0;
-0,20<=f(s)<-0,10;0;
-0,10<=f(s)<0,00;0;
0,00<=f(s)<0,10;0;
0,10<=f(s)<0,20;0;
0,20<=f(s)<0,30;0;
0,30<=f(s)<0,40;0;
0,40<=f(s)<0,50;0;
0,50<=f(s)<0,60;0;
0,60<=f(s)<0,70;4;
0,70<=f(s)<0,80;100;
0,80<=f(s)<0,90;228;
0,90<=f(s)<1,00;7;
lung-cancer,arff;
-1,00<=f(s)<-0,90;0;
-0,90<=f(s)<-0,80;0;
-0,80<=f(s)<-0,70;0;
-0,70<=f(s)<-0,60;0;
-0,60<=f(s)<-0,50;0;
-0,50<=f(s)<-0,40;0;
-0,40<=f(s)<-0,30;0;
-0,30<=f(s)<-0,20;0;
-0,20<=f(s)<-0,10;0;
-0,10<=f(s)<0,00;0;
0,00<=f(s)<0,10;0;
0,10<=f(s)<0,20;0;
0,20<=f(s)<0,30;0;
0,30<=f(s)<0,40;3;
0,40<=f(s)<0,50;250;
0,50<=f(s)<0,60;774;
0,60<=f(s)<0,70;106;
0,70<=f(s)<0,80;6;
0,80<=f(s)<0,90;0;
0,90<=f(s)<1,00;0;
primary-tumor,arff;
-1,00<=f(s)<-0,90;0;
-0,90<=f(s)<-0,80;0;
-0,80<=f(s)<-0,70;0;
-0,70<=f(s)<-0,60;0;
-0,60<=f(s)<-0,50;0;
-0,50<=f(s)<-0,40;0;
-0,40<=f(s)<-0,30;0;
-0,30<=f(s)<-0,20;0;
-0,20<=f(s)<-0,10;0;
-0,10<=f(s)<0,00;0;
0,00<=f(s)<0,10;0;
0,10<=f(s)<0,20;14;
0,20<=f(s)<0,30;306;
0,30<=f(s)<0,40;39;
0,40<=f(s)<0,50;0;
0,50<=f(s)<0,60;0;
0,60<=f(s)<0,70;0;
0,70<=f(s)<0,80;0;
0,80<=f(s)<0,90;0;
0,90<=f(s)<1,00;0;
heart-c,arff;
-1,00<=f(s)<-0,90;0;
-0,90<=f(s)<-0,80;0;
-0,80<=f(s)<-0,70;0;
-0,70<=f(s)<-0,60;0;
-0,60<=f(s)<-0,50;0;
-0,50<=f(s)<-0,40;0;
-0,40<=f(s)<-0,30;0;
-0,30<=f(s)<-0,20;0;
-0,20<=f(s)<-0,10;0;
-0,10<=f(s)<0,00;0;
0,00<=f(s)<0,10;0;
0,10<=f(s)<0,20;0;
0,20<=f(s)<0,30;0;
0,30<=f(s)<0,40;0;
0,40<=f(s)<0,50;0;
0,50<=f(s)<0,60;15;
0,60<=f(s)<0,70;185;
0,70<=f(s)<0,80;79;
0,80<=f(s)<0,90;0;
0,90<=f(s)<1,00;0;
breast-cancer,arff;
-1,00<=f(s)<-0,90;0;
-0,90<=f(s)<-0,80;0;
-0,80<=f(s)<-0,70;0;
-0,70<=f(s)<-0,60;0;
-0,60<=f(s)<-0,50;0;
-0,50<=f(s)<-0,40;0;
-0,40<=f(s)<-0,30;0;
-0,30<=f(s)<-0,20;0;
-0,20<=f(s)<-0,10;0;
-0,10<=f(s)<0,00;0;
0,00<=f(s)<0,10;0;
0,10<=f(s)<0,20;0;
0,20<=f(s)<0,30;0;
0,30<=f(s)<0,40;0;
0,40<=f(s)<0,50;3;
0,50<=f(s)<0,60;26;
0,60<=f(s)<0,70;145;
0,70<=f(s)<0,80;25;
0,80<=f(s)<0,90;0;
0,90<=f(s)<1,00;0;
kdd_synthetic_control,arff;
-1,00<=f(s)<-0,90;0;
-0,90<=f(s)<-0,80;0;
-0,80<=f(s)<-0,70;0;
-0,70<=f(s)<-0,60;0;
-0,60<=f(s)<-0,50;0;
-0,50<=f(s)<-0,40;0;
-0,40<=f(s)<-0,30;0;
-0,30<=f(s)<-0,20;0;
-0,20<=f(s)<-0,10;11;
-0,10<=f(s)<0,00;1228;
0,00<=f(s)<0,10;0;
0,10<=f(s)<0,20;0;
0,20<=f(s)<0,30;0;
0,30<=f(s)<0,40;0;
0,40<=f(s)<0,50;0;
0,50<=f(s)<0,60;0;
0,60<=f(s)<0,70;0;
0,70<=f(s)<0,80;0;
0,80<=f(s)<0,90;0;
0,90<=f(s)<1,00;0;
sponge,arff;
-1,00<=f(s)<-0,90;0;
-0,90<=f(s)<-0,80;0;
-0,80<=f(s)<-0,70;0;
-0,70<=f(s)<-0,60;0;
-0,60<=f(s)<-0,50;0;
-0,50<=f(s)<-0,40;0;
-0,40<=f(s)<-0,30;0;
-0,30<=f(s)<-0,20;0;
-0,20<=f(s)<-0,10;0;
-0,10<=f(s)<0,00;0;
0,00<=f(s)<0,10;0;
0,10<=f(s)<0,20;0;
0,20<=f(s)<0,30;0;
0,30<=f(s)<0,40;0;
0,40<=f(s)<0,50;0;
0,50<=f(s)<0,60;0;
0,60<=f(s)<0,70;1;
0,70<=f(s)<0,80;831;
0,80<=f(s)<0,90;87;
0,90<=f(s)<1,00;0;
