Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_min,feature_hdil_max,feature_hdil_median,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
prnn_fglass-952.arff,9,6,214,0.00000000,0.00000000,0.00000000,4.45875430,0.00000000,1.25842310,2.46169840,0.00000000,0.56618820,0.41235000,0.20333300,-0.93233560,0.00000000,0.56618820,0.41235000,0.19289860,-0.78372640,0.61131360,0.61830970,0.61024770,0.61955000,0.61024770,0.60465120,0.61024770
emotions-40589.arff,77,2,593,0.00000000,0.00000000,0.00000000,38.26276930,0.00000000,11.75706100,2.88795650,0.00000000,0.27409170,0.03581750,0.06936380,1.00424630,0.00000000,0.27409170,0.03581750,0.06891780,0.98482540,0.58684620,0.58921960,0.58980840,0.58712840,0.59020150,0.58837730,0.59424260
meta-757.arff,21,2,528,0.00000000,0.00000000,0.00000000,10.47428190,0.00000000,2.69292510,2.84876680,0.00000000,0.11792150,0.04881010,0.03373520,0.46917280,0.00000000,0.11792150,0.04881010,0.03295960,0.43645840,0.60478890,0.61035600,0.60489490,0.59810430,0.59810430,0.60470600,0.59810430
kc1-top5-1045.arff,94,2,145,0.00000000,0.00000000,0.00000000,46.97497620,0.00000000,10.50392400,4.47213600,0.00000000,0.13744400,0.00000000,0.04816720,0.67634650,0.00000000,0.13744400,0.00000000,0.04791310,0.66561860,0.59996800,0.60213930,0.59615600,0.60689660,0.60000000,0.59972150,0.60000000
colic-27.arff,22,2,368,0.00000000,0.00000000,0.00000000,10.76032670,0.00000000,3.68757310,2.15748070,0.00000000,0.28401010,0.02724860,0.06328140,2.64731900,0.00000000,0.28401010,0.02724860,0.06189050,2.47095300,0.62846300,0.62615170,0.62181870,0.62992860,0.62864440,0.61142760,0.61093430
fri_c4_500_100-742.arff,100,2,500,0.00000000,0.00000000,0.00000000,49.97070380,0.00000000,17.95203500,2.12420250,0.00000000,0.39014730,0.00000000,0.04547430,7.34742080,0.00000000,0.39014730,0.00000000,0.04524870,7.23783280,0.74747090,0.65513670,0.65959900,0.71173850,0.74747090,0.74747090,0.74747090
credit-approval-29.arff,15,2,690,0.00000000,0.00000000,0.00000000,7.02605610,0.00000000,2.64898170,1.68035880,0.00042270,0.42570940,0.04945590,0.11130250,2.20053570,0.00042270,0.42570940,0.04945590,0.10776810,1.98734160,0.61768830,0.61800870,0.61540500,0.61830360,0.61739130,0.61739130,0.61739130
kc1-binary-1066.arff,94,2,145,0.00000000,0.00000000,0.00000000,46.94999090,0.00000000,16.89509070,2.12411940,0.00000000,0.32736740,0.22281460,0.12176970,-0.44502990,0.00000000,0.32736740,0.22281460,0.12112710,-0.43797100,0.62192890,0.64131310,0.64864180,0.63448280,0.60879600,0.60661800,0.60375340
autoUniv-au7-500-1554.arff,12,5,500,0.00000000,0.00000000,0.00000000,5.93614430,0.00000000,1.95087350,2.16229490,0.00000000,0.08432910,0.00000000,0.02680030,1.88772260,0.00000000,0.08432910,0.00000000,0.02574890,1.66039770,0.60065070,0.61077920,0.61429090,0.61429090,0.57822320,0.59200000,0.60822320
bridges-1007.arff,12,2,107,0.00000000,0.00000000,0.00000000,5.83643810,0.00000000,2.36009360,1.19663560,0.00000000,0.97713400,0.12724940,0.28329640,2.00846430,0.00000000,0.97713400,0.12724940,0.27218240,1.76659940,0.74126060,0.74442930,0.74306040,0.74625000,0.71834310,0.63680260,0.73953490
dresses-sales-23381.arff,12,2,500,0.00000000,0.00000000,0.00000000,5.96139930,0.00000000,1.92764510,2.18320680,0.00000000,0.05042730,0.02060980,0.01683900,0.25006280,0.00000000,0.05042730,0.02060980,0.01617840,0.21994960,0.62661220,0.62653020,0.61941280,0.62741280,0.59341280,0.62600000,0.62600000
schizo-466.arff,14,2,340,0.00000000,0.00000000,0.00000000,6.95577500,0.00000000,2.08848960,2.36080140,0.00000000,0.45641020,0.00000000,0.12121940,3.69275570,0.00000000,0.45641020,0.00000000,0.11710900,3.31008950,0.68823530,0.66997940,0.63645310,0.68823530,0.60372930,0.68823530,0.59705880
fri_c4_1000_10-751.arff,10,2,1000,0.00000000,0.00000000,0.00000000,4.87746150,0.00000000,1.71279240,1.75062170,0.00000000,0.35226490,0.00000000,0.12462610,1.84795570,0.00000000,0.35226490,0.00000000,0.11882630,1.58216520,0.66057670,0.66057670,0.63817300,0.66057670,0.66057670,0.66057670,0.66057670
backache-463.arff,32,2,180,0.00000000,0.00000000,0.00000000,15.98210500,0.00000000,5.13368230,2.22917960,0.00000000,0.06095310,0.00388700,0.01745610,1.25817150,0.00000000,0.06095310,0.00388700,0.01718960,1.20016830,0.61533400,0.61360280,0.61464530,0.60555560,0.60726710,0.60469880,0.61025440
TuningSVMs-41977.arff,91,2,156,0.00000000,0.00000000,0.00000000,45.42284370,0.00000000,16.33251070,2.12573310,0.00000000,0.95204030,0.00000000,0.10980200,6.75699420,0.00000000,0.95204030,0.00000000,0.10920360,6.64630520,0.65781410,0.67309910,0.68781920,0.67741930,0.63466280,0.62492000,0.64966810
dataset-autoHorse_fixed-42223.arff,68,186,201,0.00000000,0.00000000,0.00000000,33.98361790,0.00000000,7.59896800,4.47213600,0.00000000,5.65552240,0.00000000,1.77452340,1.36500090,0.00000000,5.65552240,0.00000000,1.76161760,1.33513740,0.60473650,0.60418360,0.59813430,0.60000000,0.60000000,0.60420940,0.60000000
fri_c0_100_50-850.arff,50,2,100,0.00000000,0.00000000,0.00000000,24.96839450,0.00000000,10.01661330,1.33242490,0.00000000,0.15824920,0.00000000,0.03022050,4.85273840,0.00000000,0.15824920,0.00000000,0.02992270,4.70875150,0.67286300,0.70126640,0.71754500,0.66000000,0.67415090,0.64946540,0.64946540
cleve-40710.arff,13,2,303,0.00000000,0.00000000,0.00000000,6.38159370,0.00000000,2.00096390,2.36125430,0.00000000,0.21325070,0.11683380,0.07980300,0.01463350,0.00000000,0.21325070,0.11683380,0.07690010,0.01300350,0.59081520,0.58983490,0.58474090,0.59103810,0.56558040,0.56835590,0.57812930
